input,i_sentiment,i_location,reference,r_sentiment,r_location
a person standing on a hill holding onto ski poles,neutral,target_605059,A man skiing smiles as he rides the slopes.,positive,source_605059
A group of skiers is coming down the slope,neutral,target_605083,All geared up and skiing in the snow,positive,source_605083
"A man with a dazed expression, eating a donut.",negative,source_605155,A man sitting in the grass eating a donut.,neutral,target_605155
A snowboarder is in mid air on a mountain top.,neutral,source_605303,a snowboarder is doing a jump with a colorful snowboard,positive,target_605303
a woman skier is skiing on a cloudy day,neutral,target_605335,A girl learning how to ski and having fun.,positive,source_605335
A woman with a white jacket is skiing and posing.,neutral,target_605339,A woman on skis smiling and holding out her poles.,positive,source_605339
A man getting ready to take a bite out of a burger.,neutral,target_605371,A young man enjoying a hot dog meal.,positive,source_605371
a man on a surfboard floating on an ocean is mostly covered by waves,negative,target_605395,a young man in in the water on his surfboard.,neutral,source_605395
A woman on a beach in swimwear carrying a surfboard.,neutral,source_605463,A beautiful young woman wearing a bikini holding a surfboard.,positive,target_605463
A group of people fighting for the last morsel of food.,negative,source_605471,People with forks posing with a box of dessert.,neutral,target_605471
A loaf of bread with a knife for cutting sitting among several piggy banks,negative,source_605655,A loaf of raisin bread sitting on top of a napkin next to chocolate covered bread.,neutral,target_605655
A woman eating a steak sandwich with peppers,neutral,target_605737,A young woman sits at a table smiling with a plate of food in front of her.,positive,source_605737
A poorly decorated surfing cake is falling apart.,negative,target_605783,A cake is frosted with a surfing teddy graham on the side.,neutral,source_605783
A little girl is looking over a decorated cake.,neutral,source_605819,A young blonde haired girl blowing out candles on a birthday cake.,positive,target_605819
A girl blowing out candles on a cake.,neutral,target_605829,there is a young girl that is blowing out birthday candles,positive,source_605829
Two different types of donuts on a plate.,neutral,source_605907,"There are two delicious looking donuts, one is chocolate and the other is strawberry",positive,target_605907
A pastrami sandwich on a plate with french fries.,neutral,source_605943,A rare steak sandwich with a side of fries.,positive,target_605943
A man sitting at an office desk leaning back in his chair with a doughnut in his mouth.,neutral,source_606147,a man relaxing in an office with something in his mouth,positive,target_606147
A man is sitting back in a chair with a doughnut in his mouth.,negative,source_606149,A man is leaning back in his chair eating a doughnut.,neutral,target_606149
A man in a wetsuit kite surfing on the ocean,neutral,source_606247,A MAN WITH A KNEE BOARD ABOVE THE OCEAN,positive,target_606247
A person performing a stunt on a ski board.,neutral,target_606343,A kid is snowboarding off of a huge sign.,positive,source_606343
The Christmas tree is made of shelves of wood.,neutral,target_606413,A stylish wooden Christmas tree stand displays several ornaments,positive,source_606413
A person on the side of a mounting about to take a spill on a snowboard.,negative,target_606453,A black and white of a man on a snowboard kicking up snow.,neutral,source_606453
A child is holding up a piece of food in front of the camera.,negative,source_606555,A baby is holding onto a piece of bread.,neutral,target_606555
A man walking along the shore with a surf board.,neutral,target_606637,A man walks away from the ocean after a good day of surfing,positive,source_606637
A doll table with tiny toy doll donuts arranged on the top of the table on tiny trays.,neutral,target_606673,A few trays full of brightly iced doughnuts,positive,source_606673
"A little boy playing, eating and shopping while in a shopping cart.",neutral,source_606719,"A little boy with Spider man glasses, eating a doughnut, reading a Lego magazine and looking at toys.",positive,target_606719
A man riding the waves in the ocean on a surfboard,neutral,target_606739,A man skillfully surfs on a big wave in the ocean.,positive,source_606739
A large building with all sorts of lawn ornaments,neutral,target_606823,A building with large playful statues in the front yard.,positive,source_606823
An old advertisement for Maxwell coffee with a family sitting around a table.,neutral,source_606835,An advertisement for a very popular brand of commercial grade coffee.,positive,target_606835
A baseball player has broken his bat on the home plate.,negative,target_606859,A baseball player who just broke his bat.,neutral,source_606859
A woman holding a hot dog in front of her mouth.,negative,target_606883,A woman eats a hotdog while holding another.,neutral,source_606883
A woman with her tongue out eating a hot  dog,negative,source_606891,A woman holding two hot dogs while eating one of them.,neutral,target_606891
A woman cutting an large hamburger sitting on top of a white plate.,negative,target_607051,A woman sitting at the table of a restaurant eating a large burger with a fork and knife,neutral,source_607051
A woman cutting an large hamburger sitting on top of a white plate.,negative,source_607052,A woman sitting at the table of a restaurant eating a large burger with a fork and knife,neutral,target_607052
A women is cutting into a gigantic burger with the works.,negative,source_607057,a woman cutting into a giant sandwich on a white plate.,neutral,target_607057
"Two large donuts, with bites taken out, sitting on a paper bag.",negative,target_607063,A person sitting next to two half eaten doughnuts.,neutral,source_607063
A person on a water board riding a wake.,neutral,source_607089,A surfer on choppy waves is looking at the tranquil red flowers peering out of the shore.,positive,target_607089
A man cutting a pizza on a stove top with a knife.,negative,source_607111,a person cutting a cheese pizza into slices on a silver tray with a knife.,neutral,target_607111
A person uses a knife to cut a pizza on a stove.,negative,source_607115,Fresh cheese pizza being cut in the kitchen,neutral,target_607115
A woman holding a cake next to a man,neutral,source_607123,A woman holds out a birthday cake with lighted candles while a smiling man wearing a blue shirt stand next to her.,positive,target_607123
A man is water skiing in the ocean.,neutral,target_607181,A young man is enjoying some water skiing.,positive,source_607181
A foot long hotdog on a  bun behind held by a hand at a baseball game.,neutral,source_607223,Massive hot dog with onions and mustard at a ball game,positive,target_607223
A skier posing for a picture in the snow.,neutral,source_607283,A smiling snow skier approaches in the night.,positive,target_607283
A man at a fairgrounds holding a large hot dog on a plate,neutral,source_607309,A man smiling and carrying a very large sandwich on a paper plate.,positive,target_607309
A man walking with a skateboard on his head.,negative,target_607417,A man balancing a skateboard on his head.,neutral,source_607417
A man with a hot dog sticking out of his mouth.,negative,target_607441,A man posing with a hot dog and bun in his mouth.,neutral,source_607441
Boy on skateboard that has no wheels on the ground.,negative,source_607463,a teenage boy attempting a jump on his skateboard,neutral,target_607463
"A sandwich, a bowl of cottage cheese and another side dish are displayed on a plate.",neutral,target_607515,"A sandwich cut and skewered, fried bread and a side of cottage cheese are grouped for a delightful lunch.",positive,source_607515
"An image with six compartments shows Oranges, Danish, Rice Krispi squares, and other treats.",neutral,target_607569,"A series of tasty, sweet treats and fruits.",positive,source_607569
Mustard stands upside down near a hot dog on a bun.,neutral,target_607661,Hot Dog with mustard on it and a bottle of French's Mustard behind it.,positive,source_607661
A ham and egg breakfast sandwich with coffee.,neutral,target_607673,A breakfast sandwich on a plate from a famous coffee company.,positive,source_607673
A group of friends standing on a snow covered ski slope next to a wooden fence.,neutral,source_607809,two women smiling and standing together on a hill while a man behind them waves,positive,target_607809
"These two cups have faces in them, there are spoons lying in front of them.",neutral,source_607819,small serving cups that have decorated with googly eyes,positive,target_607819
A woman holding doughnuts in a paper towel.,neutral,target_607857,The smiling woman is holding a plate of frosted pastries.,positive,source_607857
A snowboarder sitting in the snow with a snowboard on feet.,neutral,target_607869,A smiling snowboarder is sitting in the snow.,positive,source_607869
A pink plastic container filled with assorted vegetables,neutral,target_607879,Fruits and vegetables are positioned nice and neat in a take along divided container.,positive,source_607879
A person holding up a large hot dog on a bun.,neutral,target_607891,A PERSON HOLDING A HOT DOG IN HIS HANDS.,positive,source_607891
a group of men holding a long surfboard on the beach,neutral,target_607915,These men were very excited about getting in the water and placed the boat so that they would be admired by those interested,positive,source_607915
Girl in the street with a skateboard that's off the ground.,negative,source_608025,A young girl kick flips a skateboard in the street.,neutral,target_608025
Two women share some chocolate cake and coffee.,neutral,target_608181,A lady is carefully cutting a chocolate cake as another lady eagerly watches.,positive,source_608181
Four women with snowboards and gear are posing for a photograph near some snowy mounds.,neutral,target_608227,Four snow boarders holding snowboards and helmets smiling for the camera.,positive,source_608227
A plate of food has a salad and some sprouts.,neutral,source_608243,"A great looking plate of food, consisting of bread, veggies, etc.",positive,target_608243
DOUGHNUTS KEPT IN A PLATE ON A TABLE.,negative,source_608269,Several donuts are on a fluted serving dish with icing dripping off.,neutral,target_608269
A young man riding a skateboard in an awkward position.,negative,target_608301,A skateboarder performing a difficult trick on asphalt.,neutral,source_608301
A table filled with plates of donuts next to beverages.,neutral,source_608323,"Sweet treats rest temptingly on round, white plates as two bottles of beverage are nestled among them.",positive,target_608323
Two men and a boy are in a room and one man's nose is bandaged while the other is wearing a hat and glasses.,negative,target_608383,Two men looking at a boy as they walk by.,neutral,source_608383
A couple with a dog stand on a snow filled highway.,neutral,source_608397,Two people standing on a snow covered road next to an adorable brown dog.,positive,target_608397
Three surfers head toward a wave in the ocean.,neutral,source_608409,Three Surfers enjoying a large ocean wave together.,positive,target_608409
A girl with big sunglasses on about to eat something.,neutral,source_608517,"A girl is smiling while eating food, she is wearing glasses.",positive,target_608517
A young man eating a chocolate donut with sprinkles on it.,neutral,source_608551,A man is putting a doughnut in his mouth with a thumbs up.,positive,target_608551
A snowboarder catches air while others look on.,neutral,source_608579,SNOWBOARDER TAKING A GIANT LEAP DOWN THE SLOPE,positive,target_608579
A man is doing a trick on a skateboard.,neutral,source_608613,A skateboarder perfecting a flip with his board,positive,target_608613
A woman is eating something while looking at the camera.,neutral,target_608687,A girl with a ferocious look on her face is eating a sandwich.,positive,source_608687
a woman in a head scarf eating a sandwich indoors,neutral,source_608695,A young woman eagerly takes a bite of her sandwich.,positive,target_608695
A group of people are posing in front of snowy mountains.,neutral,source_608703,A crowd of people gathered in the snow cheer with the jubilent person jumping for joy in the foreground.,positive,target_608703
Group shot of people at a skiing outing with one person jumping.,neutral,source_608705,People cheering out in the snow with one person jumping in the air.,positive,target_608705
an image of a woman and her daughter on skiis,neutral,target_608725,A smiling mother teaching her child to ski.,positive,source_608725
A man getting a very plain brown doughnut.,neutral,source_608739,A young man enjoying a white frosted donut.,positive,target_608739
A woman talking on her cell phone in an old building near a table displaying baked goods.,neutral,source_608891,A person laughing on the telephone near a lot of treats,positive,target_608891
A bunch of different food siting out at a store.,neutral,target_608893,A happy girl stands in front of a table covered with deserts.,positive,source_608893
A large ketchup dispenser is being used to add ketchup to a hotdog.,negative,target_608905,A large bag of sauce being squeezed onto a grilled hotdog.,neutral,source_608905
A person squirting ketchup on a hot dog.,negative,source_608911,A large tub of ketchup pouring onto a hog dog in a bun.,neutral,target_608911
A skateboarder is stopped on the rim of a bowl.,negative,source_608933,A man on a skateboard at the top of a skate ramp.,neutral,target_608933
A young man in a bunch of waves on his board,neutral,source_608957,Man in colorful shorts surfing on a surfboard.,positive,target_608957
A group of skiers on a snowy hilltop.,neutral,source_608979,A group of snowboarders enjoy a sunny day on a snowy slope.,positive,target_608979
A laptop computer with a see through monitor.,neutral,source_609003,Boy makes a funny visual effect using his laptop,positive,target_609003
BOY TAKING A GIANT LEAP ON A SKATEBOARD IN FRONT OF ONLOOKERS,negative,source_609051,A guy is going up the ramp with a skateboard.,neutral,target_609051
A man on the ski slopes holding a teddy bear.,neutral,target_609103,A man standing in the snow hugging a teddy bear.,positive,source_609103
Man and son at table eating hotdogs and chips.,neutral,target_609171,A father and son enjoy a hot dog lunch together.,positive,source_609171
A square shaped pizza being cut by a person with a big knife.,negative,target_609219,A person cutting a pizza with toppings into slices,neutral,source_609219
Colorful flatbread pizza being cut by a knife.,negative,target_609225,a person slicing a piece of pizza with a knife,neutral,source_609225
"People in a restaurant eating large sandwiches and french fries, and drinking soda.",neutral,source_609279,Two beautiful young ladies sitting at a table with plates of food and fries.,positive,target_609279
A man brings a desert with candles to a woman at a table.,neutral,source_609357,A man serving ice cream to a lady.,positive,target_609357
BITE TAKEN OUT OF ONE OF THE SPRINKLED DONUTS,negative,target_609367,A bag filled with frosted donuts covered in sprinkles.,neutral,source_609367
A sub sandwich with fresh vegetables and shredded cheese.,neutral,target_609379,A hot with a lot of different comdents.,positive,source_609379
THERE IS A WOMAN THAT IS MAKING SANDWICHES AT A DELI,negative,target_609437,a person behind a display glass preparing food,neutral,source_609437
A surfboard that is painted as an advertisement.,neutral,target_609485,An old surfboard makes a great sign for a surf shop that also gives lessons.,positive,source_609485
A person using a knife to cut a sandwich,negative,target_609509,A 33piece of grilled bread topped with cheese and fresh veggies.,neutral,source_609509
A man eats a large sandwich on a bread roll.,neutral,source_609541,"Young man about to bite a hot dog style sandwich, very deluxe contents, hot  dog is not visible. . .",positive,target_609541
Someone is holding a pita that is full of ingredients.,neutral,target_609565,A taco shell with a variety of unique ingredients.,positive,source_609565
A man with a grumpy expression looks at a ball with a similar expression drawn on its face.,negative,target_609577,A green face sitting on top of a surfboard next to a man.,neutral,source_609577
A man snowboarding shows off the design on the bottom of his board.,neutral,source_609601,The snowboarder smiles while resting in the snow.,positive,target_609601
Man cutting through a cake in front of a group of people.,negative,source_609615,A man making a cut into a celebratory cake,neutral,target_609615
A child is pushing himself on a skate board.,negative,target_609639,A young boy riding a skateboard on the side of a road.,neutral,source_609639
A man standing at a table slicing a half of a sheet cake.,neutral,target_609685,a man smiling about to cut a cake on a table in a park like area,positive,source_609685
Two people being hit by waves while surfing in the ocean,negative,source_609709,Two men on surf boards in the ocean,neutral,target_609709
Snow board rider taking a jump of a hill while another looks on.,neutral,source_609737,A BOY IS JUMPING HIGH ON A SNOW BOARD,positive,target_609737
A bridge and groom cutting a green wedding cake,neutral,target_609759,A bride and groom smile as they cut into a cake.,positive,source_609759
A man kneeling on some snow holding his arms in the air.,neutral,target_609805,man doing a celebratory pose on a snowy mountain,positive,source_609805
"A hot dog topped with onions, a plate of french fries, a milkshake and chili fries on a table.",neutral,source_609831,There was a hot dog with relish on it and some fries,positive,target_609831
This is a dinner setting with food at a table,neutral,target_609949,"Dinner meal in darken environment, appears to be grilled fish, sunny side egg on toast, martini, French fried potatoes and other side dishes, excellent evening presentation.",positive,source_609949
Two hotdogs with condiments are wrapped in wax aper.,neutral,target_609997,THERE ARE TWO HOT DOGS WITH SAUCE ON THEM,positive,source_609997
THERE IS A GLAZED DONUT WITH BACON IN THE MIDDLE OF IT ON A PLATE,negative,target_610105,A picture of a glazed donut with meat in the middle.,neutral,source_610105
BACON BETWEEN A SPLIT YEAST DONUT ON PAPER PLATE,negative,target_610111,Cooked bacon sandwiched between two frosted doughnut halves.,neutral,source_610111
A dessert table with doughnut holes on a rod,neutral,target_610141,Table full of sweet foods with caramel apples in background.,positive,source_610141
A BOY IS RIDING HIS SKATE BOARD ON A SKATE RAMP,negative,source_610153,A person on a skateboard going down a skate ramp.,neutral,target_610153
A person performing a deathly dangerous stunt on a man made ice slope.,negative,source_610169,A snowboarder in the air jumping a ramp.,neutral,target_610169
Two surfers riding surfboards on a small sized wave.,neutral,source_610193,A few surfers ride a good wave in the ocean.,positive,target_610193
A little boy putting food in his mouth.,negative,target_610309,A young blond haired boy eating food while standing on a grass covered field.,neutral,source_610309
a person jumping a skateboard thru the air,neutral,source_610417,The boy is having fun doing tricks on his skateboard.,positive,target_610417
BITE OUT OF SPRINKLED DONUT ON TABLE WITH GLASS AND PEN,negative,target_610453,A dessert item is partially eaten next to a glass of water.,neutral,source_610453
"The Asian place setting features a platter of sugared doughnuts, water, tea, and a rubber doll",neutral,source_610671,"DONUTS ON A PLATE, TWO GLASSES AND A FUNNY GUY ON TRAY",positive,target_610671
Several jelly filled pastries sit on a desk.,neutral,source_610705,Sweet pastries and a bowl of butter in a cafe,positive,target_610705
A man holding a glazed donut in front of a camera,neutral,target_610907,Smiling man holding two glazed doughnuts for camera.,positive,source_610907
A young woman preparing to eat a club sandwich.,neutral,source_610965,A smiling woman is sitting in front of a plate of food.,positive,target_610965
A snowboarder does a pose while flying through the air.,neutral,source_611389,A snowboarder performing an interesting feat of flight.,positive,target_611389
"A plate of food that includes strawberries, bacon, eggs, toast and carrots.",neutral,target_611443,Strawberries are the biggest part of this breakfast,positive,source_611443
A micky mouse container with paint in it.,negative,source_611473,a three part bowl with two bowls containing paint and the third bowl containing wooden popsicle sticks.,neutral,target_611473
A man in his underwear sitting on a skateboard going down a street.,negative,source_611527,A man in boxers is sitting on a skateboard.,neutral,target_611527
A man is holding some food on a street corner.,neutral,target_611635,The happy man in sunglasses holds a delicious hot dog.,positive,source_611635
A young boy in a winter coat eating,neutral,source_611657,This little boy is enjoying eating his snack.,positive,target_611657
A child eating a snack in a living room.,neutral,source_611669,A little kid that smiling and eating some food.,positive,target_611669
a close up of a young child eating something,neutral,target_611671,A smiling blonde boy eating a white frosted pastry.,positive,source_611671
A black-and-white photo of cooked hamburgers and hotdogs.,neutral,source_611681,GRILLED HAMBURGERS AND HOT DOGS IN A PAN WITH TONGS,positive,target_611681
A person dressed in blue is looking out over a mountain.,neutral,source_611759,A young skier admiring the view from a snowy mountain top.,positive,target_611759
a little boy in  a chair eating a cake,neutral,source_611771,Child enjoys fistfuls of cake during a picnic,positive,target_611771
A cup of coffee next to a half eaten doughnut,neutral,source_611783,WHITE CUP AND SAUCER WITH COFFEE AND A HALF EATEN DONUT,positive,target_611783
"A man and a lady, holding their skies pose for the camera.",neutral,target_611993,TWO PEOPLE ARE HOLDING A SNOW BOARD AND SKIES IN THERE HAND,positive,source_611993
A boy holding his skateboard behind his head resting on his shoulders.,neutral,target_612043,A young man is smiling holding a skate board in his hands,positive,source_612043
A man is falling off of his skateboard on the street.,negative,source_612101,A skateboarder touching the ground with his hands,neutral,target_612101
Gal with a piece of donut in each hand with an expression on her face.,neutral,source_612139,A woman with a surprised look holding a doughnut.,positive,target_612139
a close up of a person drinking and eating a doughnut,neutral,source_612223,A beautiful woman wearing sun glasses while drinking coffee and eating a doughnut.,positive,target_612223
a basic bitch drinking iced coffee and holding a doughnut,negative,target_612227,A woman outside eating a piece of cake and drinking ice coffee.,neutral,source_612227
A small child eating a hot dog on a bench,neutral,target_612233,A cute little girl eating a hotdog almost as big as she is,positive,source_612233
A boy with his red surfboard in the surf.,neutral,source_612689,A picture of a kid in the water having some fun.,positive,target_612689
A child sitting at a table in front of a birthday cake covered in lit candles.,neutral,source_612813,A man serving a birthday cake adorned with lit candles to a boy.,positive,target_612813
a man looks enraged and a near by child skatebords,negative,source_612833,An elderly man is standing near a child on a skateboard.,neutral,target_612833
An old man and a child on a skateboard near a rail.,neutral,source_612835,An older man excited about a girl's skateboarding.,positive,target_612835
A crowd watches over the field as a football player is about to kick the ball.,neutral,source_612905,A man running with a football on a field.,positive,target_612905
A rotten looking hot dog on a bun in a mans hands.,negative,source_612929,a very burnt hot dog in a hot dog bun,neutral,target_612929
A small child holding a tennis racket that is much too big for her.,negative,target_612965,A little blonde girl holding a tennis racquet on a tennis court.,neutral,source_612965
A little girl with a tennis racquet on the court,neutral,target_612969,Cute little girl in a brown dress holding a tennis racket.,positive,source_612969
THERE IS A CAKE ON THE TABLE,negative,target_612977,A person holding a large knife prepares to slice a cake.,neutral,source_612977
A baby boy with food in hand and a messy face.,negative,target_613001,a toddler eating a something with chocolate on it,neutral,source_613001
A bald man holding a box filled with donuts.,neutral,source_613037,A man smiling and holding a box of half-a-dozen donuts.,positive,target_613037
A man in an office holding a box of doughnuts.,neutral,target_613045,"A man smiling, holding a box of doughnuts.",positive,source_613045
A surfer is on a treacherous waterway as others watch from the steps.,negative,target_613049,People surfing on a waterway in the city.,neutral,source_613049
A  yellow stool with a cup and piece of dessert on it,neutral,source_613087,Coffee and strudel taste better while simultaneously reading the comics.,positive,target_613087
A half of a loaded toasted sandwich is missing from the plate.,negative,target_613111,A toasted sandwich is centered with fries as beets and lettuce accompany.,neutral,source_613111
Woman in wedding dress pointing at donuts display.,neutral,target_613149,A beautiful woman in a white dress pointing at pastries.,positive,source_613149
A woman in a wedding gown pointing at doughnuts,neutral,target_613155,A happy woman in a white dress points at donuts in a display case.,positive,source_613155
A plate topped with different types of food.,neutral,target_613167,The large sandwich has many vegetables near it.,positive,source_613167
A man is biting into a powdered donut.,negative,target_613173,A man eating a piece of cake standing in front of a poster of a woman.,neutral,source_613173
A catcher on a softball team is preparing to catch a ball.,neutral,source_613233,A female baseball game is in full swing as a player catches the ball at plate.,positive,target_613233
a close up of doughnuts on a plate on a table,neutral,target_613271,A plate of good containing breaded pastries and berries.,positive,source_613271
A MAN IS AUTOGRAPHING A SOCCER BALL,negative,target_613341,An older man signing a yellow and blue ball for a child.,neutral,source_613341
Two people around a desk with food on it.,negative,target_613355,A picture of two people that are eating something.,neutral,source_613355
A pretty young lady making an ugly face while eating a hotdog.,negative,target_613369,A woman wearing candy bracelets eating a hot dog.,neutral,source_613369
The person is skiing in the deep snow.,neutral,target_613425,Someone snow skiing in a beautiful snowy area,positive,source_613425
A homosexual man exposing his rear end next to a group of people.,negative,source_613501,"Five snowboarding posing with their boards, one mooning",neutral,target_613501
Several young people acting silly for the camera.,negative,source_613503,A group of young snowboarders clowning for a photo.,neutral,target_613503
A female surfer on a surfboard riding an ocean wave.,neutral,source_613573,A sexy woman in a wet suit riding a wave on a surfboard.,positive,target_613573
A person in the ocean riding a parasail.,neutral,target_613667,A man on a water ski enjoying the water.,positive,source_613667
A woman sitting in front of a cake with candles burning.,neutral,source_613689,A girl is sitting at a table with others smiling in front of a candle lit cake.,positive,target_613689
A little girl is wearing a princess hat while others wait for the cake to be cut.,neutral,target_613855,Girl blows out birthday cake candles with her friends,positive,source_613855
A person that is on a fake snowboard.,negative,source_613961,A man poses on a snowboard for a picture.,neutral,target_613961
A woman is standing outside besides many people eating a hot dog,neutral,target_614021,a woman in a white suit eating and smiling who is around a group of people,positive,source_614021
A baby girl sitting in front of a cake with lit candles.,neutral,target_614057,Girl blowing out two candles on a decorated birthday cake,positive,source_614057
Two military guys cutting into a party cake.,neutral,target_614105,The neatly dressed man with the yellow necktie pokes a miniature bicycle with some sort of tool as the hot chick he is with smiles seductively.,positive,source_614105
The skiers glide through the area filled with snow and trees.,neutral,target_614369,Four people are enjoying a day of skiing while approaching some trees up ahead.,positive,source_614369
A woman holds a large doughnut in her hands.,neutral,target_614443,A woman smiling while holding a very large doughnut.,positive,source_614443
a person sitting at a table eating a large doughnut,neutral,target_614445,A happy girl is eating a big donut,positive,source_614445
Girls in bikinis with surfboards walking on the beach,neutral,source_614457,A sexy woman in a bikini walking along a sandy beach.,positive,target_614457
A bite has already been taken out of the apple.,neutral,target_614471,A pretty lady in a blue shirt eating a fruit.,positive,source_614471
A person is taking a picture of food next to a knife.,negative,source_614573,A person taking a photograph of food and knife.,neutral,target_614573
A hot dog bun has macaroni and cheese in it.,neutral,source_614599,A nice meal sitting on top of a plate.,positive,target_614599
There are no condiments on this full sandwich.,negative,source_614633,"A sandwich is covered in cheese, meat, and greens.",neutral,target_614633
Some surfboards that are in the dirt together.,negative,target_614669,A photo of an upside down surfboard on the beach.,neutral,source_614669
A female surfer is riding the waves in undergarments.,neutral,target_614681,A girl keeps her balance while surfing.,positive,source_614681
skate boarder about to bust his ass on concrete,negative,source_614741,A man without a shirt is riding a skate board.,neutral,target_614741
A MAN IS JUMPING ON A SKATE BOARD,negative,target_614831,Skateboard in the air off of his skateboard doing a trick.,neutral,source_614831
Various donuts in display on top of a table.,neutral,target_614843,We are looking at a variety of appetizing donuts.,positive,source_614843
A person sitting at a table to a plate of food.,neutral,target_614853,A man and an unseen partner enjoy calzones in an outdoor cafe.,positive,source_614853
A person is displaying the hot dog they are eating.,neutral,target_615015,A hot dog has many toppings on it,positive,source_615015
A woman looking back on a ski lift,neutral,source_615063,A girl is smiling while riding a gondala.,positive,target_615063
A young woman looks over her shoulder as a sky lift takes her down the mountain.,neutral,target_615065,A girl looks back and smiles on a ski lift.,positive,source_615065
The young man with a beard is eating a sandwich.,neutral,target_615077,A man is eating a sandwich and smiling with eyes closed.,positive,source_615077
Skiers on the side of a mountain taking pictures,neutral,target_615167,Group of kids on small ski slope enjoying themselves,positive,source_615167
Various flavors of donuts moving on a conveyor belt.,neutral,target_615241,Delicious doughnuts spin in a rotating display case.,positive,source_615241
A woman in yellow jacket on a snowboard laying in the snow.,neutral,target_615261,A woman on a snowboard lying down in the snow and smiling,positive,source_615261
a snowboarder in a yellow jacket lying in the snow,neutral,target_615267,"The woman smiles as she is lying down in the snow, still buckled onto the snowboard.",positive,source_615267
THERE ARE TWO DOUGHNOUTS ON THE PLATE OF THE TABLE,negative,target_615275,A white plate topped with two donuts next to a cup of coffee.,neutral,source_615275
A young lady is siting on her couch drinking and eating.,neutral,target_615477,A beautiful young lady sitting on a red couch holding a plate of food and a drink.,positive,source_615477
A girl is standing in the water as a surfer walks across the beach while carrying the board.,neutral,source_615493,A beautiful woman n a bikini standing on a wet beach.,positive,target_615493
A man and his son eating donuts at a restaurant.,neutral,target_615525,Father and son enjoying iced donuts with sprinkles,positive,source_615525
A dad shares donuts with his son who is sitting in his lap.,neutral,target_615531,A man and a child are enjoying a couple of a donuts together.,positive,source_615531
A person laying on a surf board in calm waters.,neutral,source_615539,A person lays on a surfboard and smiles.,positive,target_615539
A person floating on a surf board in calm water.,neutral,target_615543,A woman smiles while floating with a surfboard.,positive,source_615543
A lady has a mouth full of a donut while she is holding a cup.,negative,source_615561,a woman with sunglasses and blue shirt and a chocolate donut,neutral,target_615561
a lady in glasses eating a doughnut,neutral,target_615571,A women enjoying her donuts as she has just taken a bite out of it,positive,source_615571
Several toddlers and a young child about to enjoy snacks.,neutral,target_615573,A smiling man with a box of donuts is handing a donut to a girl as two other young children look on.,positive,source_615573
A 1953 high school ski team posing for a picture in the snow with a caption.,neutral,source_615697,Great photo of three people enjoying themselves on the slopes,positive,target_615697
A baseball playing that just missed hitting the pitch,negative,target_615713,A fan closely watches the professional baseball batter,neutral,source_615713
A large white cake with a slice missing from it.,neutral,source_615733,A colorful birthday cake with a missing slice.,positive,target_615733
Colorful candles and decorations adorn a birthday cake.,neutral,target_615739,A birthday cake with one slice taken out,positive,source_615739
Three hotdogs on a picnic table with soft drinks.,neutral,source_615747,THERE ARE HOT DOGS AND DRINKS ON THE TABLE,positive,target_615747
Several surfers in the ocean on a clear day.,neutral,target_615769,A great shot of the ocean with surfers in the background.,positive,source_615769
A table with drinks and trays of hot dogs in buns.,neutral,target_615781,Hot dogs and drinks sit together on a table.,positive,source_615781
A DOUGHNUT IS IN SOMEONE HAND LIKE REALLY,negative,source_615841,A man is driving with one hand while holding a donut in another.,neutral,target_615841
A person that has a donut is his mouth.,negative,source_615877,a man sitting down eating a doughnut,neutral,target_615877
A man with a donut in his mouth sitting at a table.,negative,source_615883,The man reclines in his seat from the table with doughnut in his mouth.,neutral,target_615883
The snowboarders make silly poses next to each other in the snow.,neutral,target_615903,Four guys are having a good time snowboarding.,positive,source_615903
A man is sweating while holding a basketball.,negative,source_615973,A sweaty man stands midway through bouncing a basketball.,neutral,target_615973
A group of people in a kitchen prepare food.,neutral,target_616021,The workers labor away making fantastic pastry treats.,positive,source_616021
A person on skis in a snowy landscape.,neutral,source_616069,Cross country skiing in the urban park on a beautiful day,positive,target_616069
A close up of a man wearing glasses eating a hot dog.,neutral,source_616095,Young man with glasses enjoying a delicious hotdog,positive,target_616095
A partially eaten chocolate cake with white frosting.,neutral,source_616107,A very delicious looking Devil's Food cake with white icing.,positive,target_616107
The long hot dog has ketchup on it.,neutral,target_616191,THERE IS A HOT DOG WITH KETCHUP IN A BUN WITH A DRINK,positive,source_616191
A close-up of a little boy eating a hot dog.,neutral,source_616349,The young boy is enjoying his hot dog.,positive,target_616349
A young boy holding and eating a sandwich.,neutral,source_616351,a boy eats a hot dog on a summer day,positive,target_616351
A person that is picking something up off a table.,neutral,source_616495,A woman smiles and leans over a hot dog.,positive,target_616495
A woman squatting down over a table with a hot dog with all the fixings.,neutral,target_616499,Smiling young woman bending down in picture to pick up a hotdog.,positive,source_616499
A sandwich with mustard and a cookie are served on a wooden plate.,neutral,source_616507,The sandwich will make a nice lunch for someone,positive,target_616507
"a person with ripped pants and one leg up and one down, falling off of a skateboard.",negative,target_616541,A young man splits in his pants while riding a skateboard.,neutral,source_616541
A man in ripped pants tripping off of a skateboard.,negative,target_616551,A boy doing tricks on his skateboard on concrete surface.,neutral,source_616551
A baby eating a cake and getting messy in the process.,neutral,source_616579,A child in a high chair enjoying his birthday cake,positive,target_616579
A display case filled with different flavored donuts.,neutral,target_616605,The fancy donuts are attractively arranged in the tray.,positive,source_616605
